depto,victim_conflict,response,friendliness,substantive,gender_female,words_responses
SANTANDER,1,1,2,4,1,438
TOLIMA,1,0,0,0,1,0
CAUCA,1,0,0,0,1,0
QUINDIO,1,0,0,0,0,0
MAGDALENA,0,0,0,0,1,0
SANTANDER,1,0,0,0,0,0
BOLIVAR,1,0,0,0,0,0
ATLANTICO,0,0,0,0,0,0
BOYACA,1,1,3,2,0,183
HUILA,0,1,1,0,0,36
HUILA,0,0,0,0,1,0
MAGDALENA,1,0,0,0,1,0
TOLIMA,1,0,0,0,0,0
CORDOBA,1,0,0,0,0,0
MAGDALENA,1,0,0,0,1,0
NARINO,0,1,4,2,0,99
ATLANTICO,1,0,0,0,0,0
ATLANTICO,1,0,0,0,0,0
CAUCA,1,0,0,0,1,0
CASANARE,1,1,4,1,1,82
NARINO,1,0,0,0,1,0
VALLE DEL CAUCA,1,1,2,3,0,351
TOLIMA,1,0,0,0,0,0
NARINO,1,0,0,0,0,0
SAN ANDRES,1,0,0,0,1,0
CESAR,1,1,2,1,1,26
CORDOBA,0,0,0,0,1,0
RISARALDA,0,1,4,1,1,52
ANTIOQUIA,1,1,5,1,0,95
MAGDALENA,1,0,0,0,1,0
SANTANDER,0,0,0,0,1,0
NARINO,1,0,0,0,1,0
PUTUMAYO,0,0,0,0,0,0
ANTIOQUIA,1,1,6,3,0,136
